 
 ##_NUMERICAL_ANALYSIS_OUTPUT_##
 
 <_SYSTEM_INFORMATION_>
 DAMPING_RATIO: 0.4999839355E-01
 NATURAL_FREQUENCY_AND_PERIOD: 0.6275363571E+01   0.1001246448E+01
 
 <_LOAD_INFORMATION_>
 APPLIED_LOAD: 0.0000E+00*SIN[0.2094E+02*t]
 
 <_ANALYSIS_METHOD_INFORMATION_>
 STATE_FORM_METHOD
 
 <_ANALYSIS_RESULT_>
   TIME         DISPLACEMENT       VELOCITY           ACCELERATION
   0.1850E+01   0.2992461031E+00   0.2875924099E+01   -.1362084954E+02
   0.1860E+01   0.3273070595E+00   0.2734568753E+01   -.1463985079E+02
   0.1870E+01   0.3539045642E+00   0.2583340376E+01   -.1559487336E+02
   0.1880E+01   0.3789431427E+00   0.2422895769E+01   -.1648256069E+02
   0.1890E+01   0.4023340520E+00   0.2253923881E+01   -.1729984219E+02
   0.1900E+01   0.4239955871E+00   0.2077142893E+01   -.1804394346E+02
   0.1910E+01   0.4438533584E+00   0.1893297211E+01   -.1871239539E+02
   0.1920E+01   0.4618405386E+00   0.1703154372E+01   -.1930304197E+02
   0.1930E+01   0.4778980784E+00   0.1507501880E+01   -.1981404678E+02
   0.1940E+01   0.4919748900E+00   0.1307143984E+01   -.2024389825E+02
   0.1950E+01   0.5040279980E+00   0.1102898406E+01   -.2059141354E+02
   0.1960E+01   0.5140226581E+00   0.8955930427E+00   -.2085574113E+02
   0.1970E+01   0.5219324417E+00   0.6860626424E+00   -.2103636215E+02
   0.1980E+01   0.5277392884E+00   0.4751454795E+00   -.2113309026E+02
   0.1990E+01   0.5314335240E+00   0.2636800337E+00   -.2114607038E+02
   0.2000E+01   0.5330138468E+00   0.5250168976E-01   -.2107577597E+02
   0.2010E+01   0.5324872793E+00   -.1575605289E+00   -.2092300516E+02
   0.2020E+01   0.5298690895E+00   -.3656871828E+00   -.2068887557E+02
   0.2030E+01   0.5251826783E+00   -.5710715794E+00   -.2037481788E+02
   0.2040E+01   0.5184594370E+00   -.7729228677E+00   -.1998256828E+02
   0.2050E+01   0.5097385737E+00   -.9704690499E+00   -.1951415971E+02
   0.2060E+01   0.4990669099E+00   -.1162959901E+01   -.1897191200E+02
   0.2070E+01   0.4864986486E+00   -.1349669783E+01   -.1835842094E+02
   0.2080E+01   0.4720951152E+00   -.1529900347E+01   -.1767654637E+02
   0.2090E+01   0.4559244713E+00   -.1702983109E+01   -.1692939923E+02
   0.2100E+01   0.4380614035E+00   -.1868281892E+01   -.1612032778E+02
   0.2110E+01   0.4185867893E+00   -.2025195130E+01   -.1525290295E+02
   0.2120E+01   0.3975873397E+00   -.2173158012E+01   -.1433090284E+02
   0.2130E+01   0.3751552217E+00   -.2311644480E+01   -.1335829665E+02
   0.2140E+01   0.3513876612E+00   -.2440169052E+01   -.1233922776E+02
   0.2150E+01   0.3263865293E+00   -.2558288479E+01   -.1127799643E+02
   0.2160E+01   0.3002579122E+00   -.2665603223E+01   -.1017904185E+02
   0.2170E+01   0.2731116673E+00   -.2761758759E+01   -.9046923824E+01
   0.2180E+01   0.2450609676E+00   -.2846446685E+01   -.7886304056E+01
   0.2190E+01   0.2162218355E+00   -.2919405643E+01   -.6701927193E+01
   0.2200E+01   0.1867126686E+00   -.2980422061E+01   -.5498601631E+01
   0.2210E+01   0.1566537590E+00   -.3029330687E+01   -.4281180195E+01
   0.2220E+01   0.1261668082E+00   -.3066014938E+01   -.3054540770E+01
   0.2230E+01   0.9537443943E-01   -.3090407056E+01   -.1823566959E+01
   0.2240E+01   0.6439970949E-01   -.3102488066E+01   -.5931288272E+00
   0.2250E+01   0.3336562188E-01   -.3102287548E+01   0.6319361706E+00
   0.2260E+01   0.2394643195E-02   -.3089883214E+01   0.1846842016E+01
   0.2270E+01   -.2839177528E-01   -.3065400302E+01   0.3046872637E+01
   0.2280E+01   -.5887366907E-01   -.3029010784E+01   0.4227400020E+01
   0.2290E+01   -.8893302312E-01   -.2980932400E+01   0.5383901870E+01
   0.2300E+01   -.1184542239E+00   -.2921427512E+01   0.6511978737E+01
   0.2310E+01   -.1473244993E+00   -.2850801793E+01   0.7607370558E+01
   0.2320E+01   -.1754343442E+00   -.2769402753E+01   0.8665972539E+01
   0.2330E+01   -.2026779314E+00   -.2677618110E+01   0.9683850338E+01
   0.2340E+01   -.2289535042E+00   -.2575874014E+01   0.1065725447E+02
   0.2350E+01   -.2541637519E+00   -.2464633126E+01   0.1158263391E+02
   0.2360E+01   -.2782161643E+00   -.2344392575E+01   0.1245664880E+02
   0.2370E+01   -.3010233659E+00   -.2215681781E+01   0.1327618230E+02
   0.2380E+01   -.3225034274E+00   -.2079060171E+01   0.1403835142E+02
   0.2390E+01   -.3425801540E+00   -.1935114793E+01   0.1474051690E+02
   0.2400E+01   -.3611833488E+00   -.1784457830E+01   0.1538029210E+02
   0.2410E+01   -.3782490522E+00   -.1627724036E+01   0.1595555078E+02
   0.2420E+01   -.3937197538E+00   -.1465568097E+01   0.1646443383E+02
   0.2430E+01   -.4075445785E+00   -.1298661930E+01   0.1690535492E+02
   0.2440E+01   -.4196794450E+00   -.1127691932E+01   0.1727700506E+02
   0.2450E+01   -.4300871970E+00   -.9533561909E+00   0.1757835594E+02
   0.2460E+01   -.4387377055E+00   -.7763616604E+00   0.1780866230E+02
   0.2470E+01   -.4456079438E+00   -.5974213287E+00   0.1796746303E+02
   0.2480E+01   -.4506820333E+00   -.4172513730E+00   0.1805458125E+02
   0.2490E+01   -.4539512612E+00   -.2365683226E+00   0.1807012318E+02
   0.2500E+01   -.4554140702E+00   -.5608623742E-01   0.1801447598E+02
   0.2510E+01   -.4550760194E+00   0.1234860855E+00   0.1788830446E+02
   0.2520E+01   -.4529497182E+00   0.3014478679E+00   0.1769254672E+02
   0.2530E+01   -.4490547322E+00   0.4771090569E+00   0.1742840877E+02
   0.2540E+01   -.4434174631E+00   0.6497929725E+00   0.1709735805E+02
   0.2550E+01   -.4360710015E+00   0.8188388864E+00   0.1670111609E+02
   0.2560E+01   -.4270549552E+00   0.9836045213E+00   0.1624165012E+02
   0.2570E+01   -.4164152526E+00   0.1143468462E+01   0.1572116375E+02
   0.2580E+01   -.4042039219E+00   0.1297832471E+01   0.1514208689E+02
   0.2590E+01   -.3904788489E+00   0.1446123693E+01   0.1450706472E+02
   0.2600E+01   -.3753035119E+00   0.1587796755E+01   0.1381894596E+02
   0.2610E+01   -.3587466975E+00   0.1722335736E+01   0.1308077038E+02
   0.2620E+01   -.3408821965E+00   0.1849256014E+01   0.1229575564E+02
   0.2630E+01   -.3217884821E+00   0.1968105975E+01   0.1146728354E+02
   0.2640E+01   -.3015483722E+00   0.2078468584E+01   0.1059888564E+02
   0.2650E+01   -.2802486759E+00   0.2179962810E+01   0.9694228486E+01
   0.2660E+01   -.2579798274E+00   0.2272244899E+01   0.8757098292E+01
   0.2670E+01   -.2348355073E+00   0.2355009490E+01   0.7791385325E+01
   0.2680E+01   -.2109122537E+00   0.2427990582E+01   0.6801067929E+01
   0.2690E+01   -.1863090646E+00   0.2490962329E+01   0.5790196335E+01
   0.2700E+01   -.1611269930E+00   0.2543739677E+01   0.4762876269E+01
   0.2710E+01   -.1354687363E+00   0.2586178839E+01   0.3723252451E+01
   0.2720E+01   -.1094382222E+00   0.2618177603E+01   0.2675492051E+01
   0.2730E+01   -.8314019191E-01   0.2639675470E+01   0.1623768147E+01
   0.2740E+01   -.5667978311E-01   0.2650653632E+01   0.5722432739E+00
   0.2750E+01   -.3016211386E-01   0.2651134789E+01   -.4749468885E+00
   0.2760E+01   -.3691869032E-02   0.2641182793E+01   -.1513709616E+01
   0.2770E+01   0.2262710871E-01   0.2620902143E+01   -.2540010975E+01
   0.2780E+01   0.4869222223E-01   0.2590437320E+01   -.3549891323E+01
   0.2790E+01   0.7440251575E-01   0.2549971965E+01   -.4539480422E+01
   0.2800E+01   0.9965906176E-01   0.2499727916E+01   -.5505012103E+01
   0.2810E+01   0.1243653375E+00   0.2439964089E+01   -.6442838436E+01
   0.2820E+01   0.1484275896E+00   0.2370975235E+01   -.7349443335E+01
   0.2830E+01   0.1717551858E+00   0.2293090549E+01   -.8221455570E+01
   0.2840E+01   0.1942609515E+00   0.2206672164E+01   -.9055661122E+01
   0.2850E+01   0.2158614915E+00   0.2112113519E+01   -.9849014839E+01
   0.2860E+01   0.2364774945E+00   0.2009837613E+01   -.1059865136E+02
   0.2870E+01   0.2560340191E+00   0.1900295156E+01   -.1130189528E+02
   0.2880E+01   0.2744607615E+00   0.1783962626E+01   -.1195627045E+02
   0.2890E+01   0.2916923030E+00   0.1661340228E+01   -.1255950849E+02
   0.2900E+01   0.3076683370E+00   0.1532949781E+01   -.1310955642E+02
   0.2910E+01   0.3223338740E+00   0.1399332528E+01   -.1360458339E+02
   0.2920E+01   0.3356394246E+00   0.1261046886E+01   -.1404298646E+02
   0.2930E+01   0.3475411600E+00   0.1118666139E+01   -.1442339552E+02
   0.2940E+01   0.3580010486E+00   0.9727760931E+00   -.1474467719E+02
   0.2950E+01   0.3669869698E+00   0.8239726919E+00   -.1500593780E+02
   0.2960E+01   0.3744728029E+00   0.6728596073E+00   -.1520652545E+02
   0.2970E+01   0.3804384926E+00   0.5200458171E+00   -.1534603097E+02
   0.2980E+01   0.3848700897E+00   0.3661431760E+00   -.1542428812E+02
   0.2990E+01   0.3877597679E+00   0.2117639902E+00   -.1544137262E+02
   0.3000E+01   0.3891058160E+00   0.5751860566E-01   -.1539760041E+02
   0.3010E+01   0.3889126067E+00   -.9598698083E-01   -.1529352485E+02
   0.3020E+01   0.3871905410E+00   -.2481534786E+00   -.1512993311E+02
   0.3030E+01   0.3839559696E+00   -.3983906188E+00   -.1490784156E+02
   0.3040E+01   0.3792310913E+00   -.5461194201E+00   -.1462849036E+02
   0.3050E+01   0.3730438290E+00   -.6907743960E+00   -.1429333717E+02
   0.3060E+01   0.3654276842E+00   -.8318056946E+00   -.1390405006E+02
   0.3070E+01   0.3564215701E+00   -.9686811646E+00   -.1346249964E+02
   0.3080E+01   0.3460696243E+00   -.1100888337E+01   -.1297075040E+02
   0.3090E+01   0.3344210032E+00   -.1227936321E+01   -.1243105139E+02
   0.3100E+01   0.3215296564E+00   -.1349357593E+01   -.1184582624E+02
   0.3110E+01   0.3074540849E+00   -.1464709700E+01   -.1121766250E+02
   0.3120E+01   0.2922570821E+00   -.1573576833E+01   -.1054930043E+02
   0.3130E+01   0.2760054604E+00   -.1675571304E+01   -.9843621294E+01
   0.3140E+01   0.2587697624E+00   -.1770334889E+01   -.9103635112E+01
   0.3150E+01   0.2406239608E+00   -.1857540058E+01   -.8332468027E+01
   0.3160E+01   0.2216451454E+00   -.1936891068E+01   -.7533349275E+01
   0.3170E+01   0.2019132004E+00   -.2008124926E+01   -.6709597831E+01
   0.3180E+01   0.1815104726E+00   -.2071012225E+01   -.5864608796E+01
   0.3190E+01   0.1605214321E+00   -.2125357830E+01   -.5001839557E+01
   0.3200E+01   0.1390323266E+00   -.2171001431E+01   -.4124795799E+01
   0.3210E+01   0.1171308310E+00   -.2207817961E+01   -.3237017409E+01
   0.3220E+01   0.9490569339E-01   -.2235717863E+01   -.2342064332E+01
   0.3230E+01   0.7244637947E-01   -.2254647219E+01   -.1443502447E+01
   0.3240E+01   0.4984271572E-01   -.2264587744E+01   -.5448894938E+00
   0.3250E+01   0.2718453397E-01   -.2265556629E+01   0.3502388696E+00
